Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WABASH COUNTY,185,2015,"5,620","5,303",317,5.6,,,,,,,,,,,,,,
WARREN COUNTY,187,2015,"8,563","8,116",447,5.2,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,2015,"9,352","8,998",354,3.8,,,,,,,,,,,,,,
WAYNE COUNTY,191,2015,"7,498","6,982",516,6.9,,,,,,,,,,,,,,
WHITE COUNTY,193,2015,"6,926","6,529",397,5.7,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,2015,"28,506","26,743","1,763",6.2,,,,,,,,,,,,,,
WILL COUNTY,197,2015,"357,074","335,079","21,995",6.2,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,2015,"31,915","29,942","1,973",6.2,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,2015,"142,138","132,182","9,956",7.0,,,,,,,,,,,,,,
WOODFORD COUNTY,203,2015,"19,571","18,579",992,5.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2014,"32,635","30,894","1,741",5.3,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,2014,"2,556","2,283",273,10.7,,,,,,,,,,,,,,
BOND COUNTY,5,2014,"7,893","7,376",517,6.6,,,,,,,,,,,,,,
BOONE COUNTY,7,2014,"26,324","24,271","2,053",7.8,,,,,,,,,,,,,,
BROWN COUNTY,9,2014,"2,734","2,620",114,4.2,,,,,,,,,,,,,,
BUREAU COUNTY,11,2014,"17,475","16,198","1,277",7.3,,,,,,,,,,,,,,
CALHOUN COUNTY,13,2014,"2,365","2,171",194,8.2,,,,,,,,,,,,,,
CARROLL COUNTY,15,2014,"7,849","7,347",502,6.4,,,,,,,,,,,,,,
CASS COUNTY,17,2014,"6,432","5,989",443,6.9,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,2014,"103,402","97,193","6,209",6.0,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,2014,"15,788","14,591","1,197",7.6,,,,,,,,,,,,,,
CLARK COUNTY,23,2014,"7,964","7,396",568,7.1,,,,,,,,,,,,,,
CLAY COUNTY,25,2014,"6,439","5,925",514,8.0,,,,,,,,,,,,,,
CLINTON COUNTY,27,2014,"19,954","18,872","1,082",5.4,,,,,,,,,,,,,,
COLES COUNTY,29,2014,"24,280","22,637","1,643",6.8,,,,,,,,,,,,,,
COOK COUNTY,31,2014,"2,653,342","2,455,149","198,193",7.5,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2014,"9,744","9,113",631,6.5,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2014,"5,859","5,514",345,5.9,,,,,,,,,,,,,,
DEKALB COUNTY,37,2014,"54,928","51,333","3,595",6.5,,,,,,,,,,,,,,
DE WITT COUNTY,39,2014,"7,935","7,410",525,6.6,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2014,"9,861","9,282",579,5.9,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2014,"509,913","480,727","29,186",5.7,,,,,,,,,,,,,,
EDGAR COUNTY,45,2014,"9,133","8,478",655,7.2,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2014,"2,851","2,659",192,6.7,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2014,"18,361","17,364",997,5.4,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2014,"9,754","9,013",741,7.6,,,,,,,,,,,,,,
FORD COUNTY,53,2014,"6,452","6,061",391,6.1,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2014,"16,640","15,102","1,538",9.2,,,,,,,,,,,,,,
FULTON COUNTY,57,2014,"15,753","14,402","1,351",8.6,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2014,"2,463","2,288",175,7.1,,,,,,,,,,,,,,
GREENE COUNTY,61,2014,"6,178","5,760",418,6.8,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2014,"25,583","23,352","2,231",8.7,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2014,"4,332","4,075",257,5.9,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2014,"8,883","8,308",575,6.5,,,,,,,,,,,,,,
HARDIN COUNTY,69,2014,"1,639","1,496",143,8.7,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2014,"3,739","3,502",237,6.3,,,,,,,,,,,,,,
HENRY COUNTY,73,2014,"25,236","23,555","1,681",6.7,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2014,"15,006","14,049",957,6.4,,,,,,,,,,,,,,
JACKSON COUNTY,77,2014,"28,466","26,641","1,825",6.4,,,,,,,,,,,,,,
JASPER COUNTY,79,2014,"4,645","4,348",297,6.4,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2014,"17,617","16,300","1,317",7.5,,,,,,,,,,,,,,
JERSEY COUNTY,83,2014,"11,077","10,283",794,7.2,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2014,"11,562","10,851",711,6.1,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2014,"4,160","3,764",396,9.5,,,,,,,,,,,,,,
KANE COUNTY,89,2014,"264,897","246,677","18,220",6.9,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2014,"55,811","51,378","4,433",7.9,,,,,,,,,,,,,,
KENDALL COUNTY,93,2014,"65,164","60,981","4,183",6.4,,,,,,,,,,,,,,
KNOX COUNTY,95,2014,"23,586","21,952","1,634",6.9,,,,,,,,,,,,,,
LAKE COUNTY,97,2014,"365,199","341,670","23,529",6.4,,,,,,,,,,,,,,
LASALLE COUNTY,99,2014,"57,202","52,544","4,658",8.1,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2014,"6,347","5,854",493,7.8,,,,,,,,,,,,,,
LEE COUNTY,103,2014,"18,142","17,007","1,135",6.3,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2014,"17,468","16,351","1,117",6.4,,,,,,,,,,,,,,
LOGAN COUNTY,107,2014,"13,024","12,192",832,6.4,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2014,"14,292","13,316",976,6.8,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2014,"165,732","154,853","10,879",6.6,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2014,"90,778","85,807","4,971",5.5,,,,,,,,,,,,,,
MACON COUNTY,115,2014,"50,797","46,459","4,338",8.5,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2014,"23,130","21,403","1,727",7.5,,,,,,,,,,,,,,
MADISON COUNTY,119,2014,"132,268","122,960","9,308",7.0,,,,,,,,,,,,,,
MARION COUNTY,121,2014,"18,043","16,669","1,374",7.6,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2014,"5,755","5,352",403,7.0,,,,,,,,,,,,,,
MASON COUNTY,125,2014,"6,636","6,066",570,8.6,,,,,,,,,,,,,,
MASSAC COUNTY,127,2014,"6,318","5,814",504,8.0,,,,,,,,,,,,,,
MENARD COUNTY,129,2014,"6,748","6,368",380,5.6,,,,,,,,,,,,,,
MERCER COUNTY,131,2014,"8,285","7,703",582,7.0,,,,,,,,,,,,,,
MONROE COUNTY,133,2014,"17,877","16,917",960,5.4,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2014,"12,138","11,077","1,061",8.7,,,,,,,,,,,,,,
MORGAN COUNTY,137,2014,"17,214","16,189","1,025",6.0,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2014,"7,045","6,663",382,5.4,,,,,,,,,,,,,,
OGLE COUNTY,141,2014,"25,933","24,013","1,920",7.4,,,,,,,,,,,,,,
PEORIA COUNTY,143,2014,"91,556","84,524","7,032",7.7,,,,,,,,,,,,,,
PERRY COUNTY,145,2014,"8,883","8,132",751,8.5,,,,,,,,,,,,,,
PIATT COUNTY,147,2014,"8,323","7,851",472,5.7,,,,,,,,,,,,,,
PIKE COUNTY,149,2014,"7,748","7,303",445,5.7,,,,,,,,,,,,,,
POPE COUNTY,151,2014,"1,796","1,647",149,8.3,,,,,,,,,,,,,,
PULASKI COUNTY,153,2014,"2,139","1,916",223,10.4,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2014,"3,033","2,801",232,7.6,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2014,"14,161","13,224",937,6.6,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2014,"7,230","6,766",464,6.4,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2014,"72,601","67,464","5,137",7.1,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2014,"126,416","116,508","9,908",7.8,,,,,,,,,,,,,,
SALINE COUNTY,165,2014,"10,767","9,885",882,8.2,,,,,,,,,,,,,,
SANGAMON COUNTY,167,2014,"104,386","98,232","6,154",5.9,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,2014,"3,458","3,225",233,6.7,,,,,,,,,,,,,,
SCOTT COUNTY,171,2014,"2,560","2,384",176,6.9,,,,,,,,,,,,,,
SHELBY COUNTY,173,2014,"10,147","9,460",687,6.8,,,,,,,,,,,,,,
STARK COUNTY,175,2014,"2,803","2,592",211,7.5,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,2014,"22,238","20,604","1,634",7.3,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,2014,"67,789","63,227","4,562",6.7,,,,,,,,,,,,,,
UNION COUNTY,181,2014,"7,293","6,651",642,8.8,,,,,,,,,,,,,,
VERMILION COUNTY,183,2014,"35,526","32,525","3,001",8.4,,,,,,,,,,,,,,
WABASH COUNTY,185,2014,"5,565","5,233",332,6.0,,,,,,,,,,,,,,
WARREN COUNTY,187,2014,"8,734","8,225",509,5.8,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,2014,"9,021","8,593",428,4.7,,,,,,,,,,,,,,
WAYNE COUNTY,191,2014,"7,672","7,164",508,6.6,,,,,,,,,,,,,,
WHITE COUNTY,193,2014,"7,071","6,657",414,5.9,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,2014,"28,579","26,600","1,979",6.9,,,,,,,,,,,,,,
WILL COUNTY,197,2014,"356,697","329,629","27,068",7.6,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,2014,"31,390","29,153","2,237",7.1,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,2014,"142,061","130,296","11,765",8.3,,,,,,,,,,,,,,
WOODFORD COUNTY,203,2014,"19,692","18,602","1,090",5.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2013,"32,956","30,722","2,234",6.8,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,2013,"2,690","2,349",341,12.7,,,,,,,,,,,,,,
BOND COUNTY,5,2013,"8,035","7,339",696,8.7,,,,,,,,,,,,,,
BOONE COUNTY,7,2013,"26,424","23,748","2,676",10.1,,,,,,,,,,,,,,
BROWN COUNTY,9,2013,"2,614","2,453",161,6.2,,,,,,,,,,,,,,
BUREAU COUNTY,11,2013,"17,732","16,105","1,627",9.2,,,,,,,,,,,,,,
CALHOUN COUNTY,13,2013,"2,416","2,179",237,9.8,,,,,,,,,,,,,,
CARROLL COUNTY,15,2013,"7,880","7,253",627,8.0,,,,,,,,,,,,,,
CASS COUNTY,17,2013,"6,455","5,868",587,9.1,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,2013,"103,064","95,394","7,670",7.4,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,2013,"16,052","14,498","1,554",9.7,,,,,,,,,,,,,,
CLARK COUNTY,23,2013,"7,942","7,203",739,9.3,,,,,,,,,,,,,,
CLAY COUNTY,25,2013,"6,318","5,692",626,9.9,,,,,,,,,,,,,,
CLINTON COUNTY,27,2013,"19,947","18,593","1,354",6.8,,,,,,,,,,,,,,
COLES COUNTY,29,2013,"24,416","22,272","2,144",8.8,,,,,,,,,,,,,,
COOK COUNTY,31,2013,"2,671,904","2,414,722","257,182",9.6,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2013,"9,964","9,135",829,8.3,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2013,"5,818","5,363",455,7.8,,,,,,,,,,,,,,
DEKALB COUNTY,37,2013,"54,783","50,298","4,485",8.2,,,,,,,,,,,,,,
DE WITT COUNTY,39,2013,"8,149","7,469",680,8.3,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2013,"9,781","9,099",682,7.0,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2013,"510,632","473,038","37,594",7.4,,,,,,,,,,,,,,
EDGAR COUNTY,45,2013,"9,033","8,179",854,9.5,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2013,"2,869","2,623",246,8.6,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2013,"18,070","16,820","1,250",6.9,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2013,"10,132","9,198",934,9.2,,,,,,,,,,,,,,
FORD COUNTY,53,2013,"6,554","6,056",498,7.6,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2013,"16,924","14,914","2,010",11.9,,,,,,,,,,,,,,
FULTON COUNTY,57,2013,"16,215","14,444","1,771",10.9,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2013,"2,480","2,246",234,9.4,,,,,,,,,,,,,,
GREENE COUNTY,61,2013,"6,318","5,772",546,8.6,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2013,"25,906","22,898","3,008",11.6,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2013,"4,087","3,769",318,7.8,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2013,"8,897","8,143",754,8.5,,,,,,,,,,,,,,
HARDIN COUNTY,69,2013,"1,734","1,537",197,11.4,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2013,"3,671","3,382",289,7.9,,,,,,,,,,,,,,
HENRY COUNTY,73,2013,"25,415","23,442","1,973",7.8,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2013,"15,025","13,756","1,269",8.4,,,,,,,,,,,,,,
JACKSON COUNTY,77,2013,"28,532","26,266","2,266",7.9,,,,,,,,,,,,,,
JASPER COUNTY,79,2013,"4,729","4,354",375,7.9,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2013,"17,832","16,134","1,698",9.5,,,,,,,,,,,,,,
JERSEY COUNTY,83,2013,"11,152","10,153",999,9.0,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2013,"11,593","10,709",884,7.6,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2013,"4,287","3,764",523,12.2,,,,,,,,,,,,,,
KANE COUNTY,89,2013,"264,804","241,769","23,035",8.7,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2013,"56,153","50,343","5,810",10.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,2013,"64,445","59,053","5,392",8.4,,,,,,,,,,,,,,
KNOX COUNTY,95,2013,"23,673","21,576","2,097",8.9,,,,,,,,,,,,,,
LAKE COUNTY,97,2013,"364,318","335,522","28,796",7.9,,,,,,,,,,,,,,
LA SALLE COUNTY,99,2013,"58,114","52,108","6,006",10.3,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2013,"6,328","5,682",646,10.2,,,,,,,,,,,,,,
LEE COUNTY,103,2013,"18,094","16,644","1,450",8.0,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2013,"17,691","16,262","1,429",8.1,,,,,,,,,,,,,,
LOGAN COUNTY,107,2013,"13,094","12,037","1,057",8.1,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2013,"14,635","13,421","1,214",8.3,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2013,"166,937","152,512","14,425",8.6,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2013,"92,348","86,251","6,097",6.6,,,,,,,,,,,,,,
MACON COUNTY,115,2013,"52,457","46,506","5,951",11.3,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2013,"23,472","21,253","2,219",9.5,,,,,,,,,,,,,,
MADISON COUNTY,119,2013,"133,228","121,394","11,834",8.9,,,,,,,,,,,,,,
MARION COUNTY,121,2013,"18,113","16,291","1,822",10.1,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2013,"5,907","5,368",539,9.1,,,,,,,,,,,,,,
MASON COUNTY,125,2013,"6,735","5,998",737,10.9,,,,,,,,,,,,,,
MASSAC COUNTY,127,2013,"6,407","5,779",628,9.8,,,,,,,,,,,,,,
MENARD COUNTY,129,2013,"6,730","6,256",474,7.0,,,,,,,,,,,,,,
MERCER COUNTY,131,2013,"8,396","7,736",660,7.9,,,,,,,,,,,,,,
MONROE COUNTY,133,2013,"17,731","16,545","1,186",6.7,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2013,"12,603","11,228","1,375",10.9,,,,,,,,,,,,,,
MORGAN COUNTY,137,2013,"17,403","16,038","1,365",7.8,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2013,"7,095","6,584",511,7.2,,,,,,,,,,,,,,
OGLE COUNTY,141,2013,"25,787","23,247","2,540",9.8,,,,,,,,,,,,,,
PEORIA COUNTY,143,2013,"93,532","84,525","9,007",9.6,,,,,,,,,,,,,,
PERRY COUNTY,145,2013,"9,023","8,027",996,11.0,,,,,,,,,,,,,,
PIATT COUNTY,147,2013,"8,377","7,777",600,7.2,,,,,,,,,,,,,,
PIKE COUNTY,149,2013,"7,692","7,114",578,7.5,,,,,,,,,,,,,,
POPE COUNTY,151,2013,"1,831","1,662",169,9.2,,,,,,,,,,,,,,
PULASKI COUNTY,153,2013,"2,217","1,939",278,12.5,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2013,"3,054","2,751",303,9.9,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2013,"14,378","13,175","1,203",8.4,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2013,"7,372","6,757",615,8.3,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2013,"73,581","67,462","6,119",8.3,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2013,"127,785","115,272","12,513",9.8,,,,,,,,,,,,,,
SALINE COUNTY,165,2013,"11,280","10,087","1,193",10.6,,,,,,,,,,,,,,
SANGAMON COUNTY,167,2013,"103,979","96,323","7,656",7.4,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,2013,"3,476","3,187",289,8.3,,,,,,,,,,,,,,
SCOTT COUNTY,171,2013,"2,606","2,375",231,8.9,,,,,,,,,,,,,,
SHELBY COUNTY,173,2013,"10,297","9,398",899,8.7,,,,,,,,,,,,,,
STARK COUNTY,175,2013,"2,885","2,610",275,9.5,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,2013,"22,740","20,605","2,135",9.4,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,2013,"69,103","63,131","5,972",8.6,,,,,,,,,,,,,,
UNION COUNTY,181,2013,"7,414","6,582",832,11.2,,,,,,,,,,,,,,
VERMILION COUNTY,183,2013,"35,948","32,142","3,806",10.6,,,,,,,,,,,,,,
WABASH COUNTY,185,2013,"5,642","5,218",424,7.5,,,,,,,,,,,,,,
WARREN COUNTY,187,2013,"8,823","8,174",649,7.4,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,2013,"8,920","8,366",554,6.2,,,,,,,,,,,,,,
WAYNE COUNTY,191,2013,"7,883","7,270",613,7.8,,,,,,,,,,,,,,
WHITE COUNTY,193,2013,"7,029","6,489",540,7.7,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,2013,"29,388","26,824","2,564",8.7,,,,,,,,,,,,,,
WILL COUNTY,197,2013,"358,406","323,345","35,061",9.8,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,2013,"31,482","28,647","2,835",9.0,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,2013,"143,275","128,247","15,028",10.5,,,,,,,,,,,,,,
WOODFORD COUNTY,203,2013,"19,933","18,517","1,416",7.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2012,"33,912","31,700","2,212",6.5,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,2012,"2,761","2,432",329,11.9,,,,,,,,,,,,,,
BOND COUNTY,5,2012,"8,284","7,543",741,8.9,,,,,,,,,,,,,,
BOONE COUNTY,7,2012,"26,900","24,105","2,795",10.4,,,,,,,,,,,,,,
BROWN COUNTY,9,2012,"2,630","2,474",156,5.9,,,,,,,,,,,,,,
BUREAU COUNTY,11,2012,"18,220","16,547","1,673",9.2,,,,,,,,,,,,,,
CALHOUN COUNTY,13,2012,"2,449","2,204",245,10.0,,,,,,,,,,,,,,
CARROLL COUNTY,15,2012,"8,068","7,409",659,8.2,,,,,,,,,,,,,,
CASS COUNTY,17,2012,"6,629","6,070",559,8.4,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,2012,"104,117","96,516","7,601",7.3,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,2012,"16,578","15,035","1,543",9.3,,,,,,,,,,,,,,
CLARK COUNTY,23,2012,"8,038","7,268",770,9.6,,,,,,,,,,,,,,
CLAY COUNTY,25,2012,"6,656","6,016",640,9.6,,,,,,,,,,,,,,
CLINTON COUNTY,27,2012,"20,383","19,030","1,353",6.6,,,,,,,,,,,,,,
COLES COUNTY,29,2012,"24,862","22,684","2,178",8.8,,,,,,,,,,,,,,
COOK COUNTY,31,2012,"2,653,326","2,397,792","255,534",9.6,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2012,"10,451","9,647",804,7.7,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2012,"5,966","5,503",463,7.8,,,,,,,,,,,,,,
DEKALB COUNTY,37,2012,"55,613","50,920","4,693",8.4,,,,,,,,,,,,,,
DE WITT COUNTY,39,2012,"8,488","7,803",685,8.1,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2012,"9,937","9,217",720,7.2,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2012,"506,425","468,487","37,938",7.5,,,,,,,,,,,,,,
EDGAR COUNTY,45,2012,"9,133","8,250",883,9.7,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2012,"3,061","2,822",239,7.8,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2012,"18,532","17,321","1,211",6.5,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2012,"10,703","9,743",960,9.0,,,,,,,,,,,,,,
FORD COUNTY,53,2012,"6,787","6,267",520,7.7,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2012,"17,414","15,564","1,850",10.6,,,,,,,,,,,,,,
FULTON COUNTY,57,2012,"16,965","15,286","1,679",9.9,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2012,"2,528","2,316",212,8.4,,,,,,,,,,,,,,
GREENE COUNTY,61,2012,"6,487","5,941",546,8.4,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2012,"25,755","22,797","2,958",11.5,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2012,"3,927","3,615",312,7.9,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2012,"9,282","8,514",768,8.3,,,,,,,,,,,,,,
HARDIN COUNTY,69,2012,"1,737","1,554",183,10.5,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2012,"3,733","3,436",297,8.0,,,,,,,,,,,,,,
HENRY COUNTY,73,2012,"26,179","24,239","1,940",7.4,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2012,"15,327","14,022","1,305",8.5,,,,,,,,,,,,,,
JACKSON COUNTY,77,2012,"29,218","26,935","2,283",7.8,,,,,,,,,,,,,,
JASPER COUNTY,79,2012,"4,943","4,566",377,7.6,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2012,"17,905","16,260","1,645",9.2,,,,,,,,,,,,,,
JERSEY COUNTY,83,2012,"11,406","10,379","1,027",9.0,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2012,"11,891","10,993",898,7.6,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2012,"4,308","3,810",498,11.6,,,,,,,,,,,,,,
KANE COUNTY,89,2012,"267,616","243,818","23,798",8.9,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2012,"56,653","50,780","5,873",10.4,,,,,,,,,,,,,,
KENDALL COUNTY,93,2012,"63,486","58,179","5,307",8.4,,,,,,,,,,,,,,
KNOX COUNTY,95,2012,"24,417","22,388","2,029",8.3,,,,,,,,,,,,,,
LAKE COUNTY,97,2012,"367,964","338,183","29,781",8.1,,,,,,,,,,,,,,
LA SALLE COUNTY,99,2012,"59,584","53,608","5,976",10.0,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2012,"6,484","5,824",660,10.2,,,,,,,,,,,,,,
LEE COUNTY,103,2012,"18,247","16,736","1,511",8.3,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2012,"18,228","16,819","1,409",7.7,,,,,,,,,,,,,,
LOGAN COUNTY,107,2012,"13,546","12,533","1,013",7.5,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2012,"15,025","13,876","1,149",7.6,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2012,"167,014","152,016","14,998",9.0,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2012,"94,562","88,530","6,032",6.4,,,,,,,,,,,,,,
MACON COUNTY,115,2012,"54,313","48,928","5,385",9.9,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2012,"24,081","21,799","2,282",9.5,,,,,,,,,,,,,,
MADISON COUNTY,119,2012,"135,756","123,818","11,938",8.8,,,,,,,,,,,,,,
MARION COUNTY,121,2012,"18,683","16,857","1,826",9.8,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2012,"6,227","5,711",516,8.3,,,,,,,,,,,,,,
MASON COUNTY,125,2012,"7,018","6,315",703,10.0,,,,,,,,,,,,,,
MASSAC COUNTY,127,2012,"6,579","5,948",631,9.6,,,,,,,,,,,,,,
MENARD COUNTY,129,2012,"7,013","6,522",491,7.0,,,,,,,,,,,,,,
MERCER COUNTY,131,2012,"8,645","7,976",669,7.7,,,,,,,,,,,,,,
MONROE COUNTY,133,2012,"17,954","16,746","1,208",6.7,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2012,"13,202","11,727","1,475",11.2,,,,,,,,,,,,,,
MORGAN COUNTY,137,2012,"17,794","16,427","1,367",7.7,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2012,"7,395","6,868",527,7.1,,,,,,,,,,,,,,
OGLE COUNTY,141,2012,"26,672","23,984","2,688",10.1,,,,,,,,,,,,,,
PEORIA COUNTY,143,2012,"96,291","88,235","8,056",8.4,,,,,,,,,,,,,,
PERRY COUNTY,145,2012,"9,236","8,258",978,10.6,,,,,,,,,,,,,,
PIATT COUNTY,147,2012,"8,572","7,977",595,6.9,,,,,,,,,,,,,,
PIKE COUNTY,149,2012,"7,803","7,215",588,7.5,,,,,,,,,,,,,,
POPE COUNTY,151,2012,"1,893","1,731",162,8.6,,,,,,,,,,,,,,
PULASKI COUNTY,153,2012,"2,378","2,108",270,11.4,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2012,"3,138","2,846",292,9.3,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2012,"14,622","13,399","1,223",8.4,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2012,"7,554","6,949",605,8.0,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2012,"75,408","69,358","6,050",8.0,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2012,"130,479","118,036","12,443",9.5,,,,,,,,,,,,,,
